Test time, Test, Node, Response Time, Error
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Dallas  TX - AT&T,1.754,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Atlanta  GA - Verizon,0.925,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Atlanta  GA - Verizon,1.036,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Boston  MA - Savvis,0.687,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Boston  MA - Savvis,0.889,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Sydney  Australia - Telstra,5.896,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.104,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.892,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.423,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,San Jose  CA - Verizon,1.255,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,San Jose  CA - Verizon,3.39,
03-03-2014 09:11, gskbio-akamai-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.154,
03-03-2014 09:11, gskbio-origin-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.904,
03-03-2014 10:10, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam,0.497,
03-03-2014 10:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam,0.685,
03-03-2014 10:10, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Orange,0.294,
03-03-2014 10:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,1.835,
03-03-2014 10:10, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Orange,0.69,
03-03-2014 10:10, gskbio-origin-sbhardwa - FF Agent,Perth - Telstra,7.611,
03-03-2014 10:10, gskbio-akamai-sbhardwa - FF Agent,Perth - Telstra,2.458,
03-03-2014 10:10, gskbio-akamai-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.65,
