Test time, Test, Node, Response Time, Error
03 Mar 2014 10:10:38.367, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - KDDI,2.053,
03 Mar 2014 10:10:42.850, gskbio-akamai-sbhardwa - FF Agent,Singapore  Singapore - Singtel,1.986,
03 Mar 2014 10:10:42.897, gskbio-origin-sbhardwa - FF Agent,Singapore  Singapore - Singtel,4.665,
03 Mar 2014 10:10:50.077, gskbio-akamai-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.771,
03 Mar 2014 10:10:51.153, gskbio-origin-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.796,
03 Mar 2014 10:10:58.897, gskbio-akamai-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.084,
03 Mar 2014 10:10:58.903, gskbio-origin-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.666,
03 Mar 2014 10:10:59.223, gskbio-origin-sbhardwa - FF Agent,Melbourne  AU - Intervolve,3.529,
03 Mar 2014 10:10:59.237, gskbio-akamai-sbhardwa - FF Agent,Melbourne  AU - Intervolve,2.196,
03 Mar 2014 10:11:01.813, gskbio-akamai-sbhardwa - FF Agent,Atlanta  GA - Verizon,0.737,
03 Mar 2014 10:11:08.717, gskbio-akamai-sbhardwa - FF Agent,New York  NY - Sprint,0.725,
03 Mar 2014 10:11:08.810, gskbio-origin-sbhardwa - FF Agent,New York  NY - Sprint,1.007,
03 Mar 2014 10:11:09.487, gskbio-akamai-sbhardwa - FF Agent,San Jose  CA - Verizon,1.126,
03 Mar 2014 10:11:21.893, gskbio-origin-sbhardwa - FF Agent,San Jose  CA - Verizon,2.201,
03 Mar 2014 10:12:07.140, gskbio-akamai-sbhardwa - FF Agent,Dallas  TX - AT&T,1.164,
03 Mar 2014 10:12:07.203, gskbio-origin-sbhardwa - FF Agent,Dallas  TX - AT&T,1.979,
03 Mar 2014 10:12:16.130, gskbio-origin-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.908,
03 Mar 2014 10:12:18.110, gskbio-akamai-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.160,
